date,returns
2016-03-04,0.039625752717256546
2016-03-11,0.0006990291876718402
2016-03-18,-0.009342688135802746
2016-03-25,-0.003309302031993866
2016-04-01,0.0024309952277690172
2016-04-08,-0.0031501089688390493
2016-04-15,0.0027333686593919992
2016-04-22,0.007802075706422329
2016-04-29,-0.003767196787521243
2016-05-06,-0.011312933638691902
2016-05-13,-0.004770268220454454
2016-05-20,0.007533869240432978
2016-05-27,0.004224344156682491
2016-06-03,0.012715881690382957
2016-06-10,0.0007890331908129156
2016-06-17,0.0025904569774866104
2016-06-24,-0.007514932658523321
2016-07-01,0.004387576133012772
2016-07-08,0.002379044657573104
2016-07-15,0.01082680094987154
2016-07-22,0.0051153358072042465
2016-07-29,0.0015645443927496672
2016-08-05,-0.007255392149090767
2016-08-12,0.005254621617496014
